forseeable	foreseeable
enviroment	environment
humourous	humorous
neccessary	necessary
peice	piece
occurance	occurrence
beleive	believe
concious	conscious
pavillion	pavilion
whereever	wherever
curiousity	curiosity
suprise	surprise
commitee	committee
dissapear	disappear
jist	gist
realy	really
gaurd	guard
existance	existence
arguement	argument
occured	occurred
definately	definitely
accomodate	accommodate
appearence	appearance
acheive	achieve
sence	sense
propoganda	propaganda
tounge	tongue
succesful	successful
unforseen	unforeseen
religous	religious
honourary	honorary
independant	independent
agressive	aggressive
incidently	incidentally
ocassion	occasion
goverment	government
recieve	receive
refered	referred
bizzare	bizarre
completly	completely
pharoah	pharaoh
prefered	preferred
foriegn	foreign
seperate	separate
truely	truly
tatoo	tattoo
wierd	weird
wich	which
harrass	harass
millenium	millennium
tommorow	tomorrow
apparantly	apparently
publically	publicly
comming	coming
calender	calendar
buisness	business
fourty	forty
foward	forward
glamourous	glamorous
politican	politician
seige	siege
therefor	therefore
freind	friend
finaly	finally
cemetary	cemetery
embarass	embarrass
lollypop	lollipop
dissapoint	disappoint
futher	further
happend	happened
unfortunatly	unfortunately
untill	until
posession	possession
begining	beginning
rember	remember
accross	across
