crackin	cracking
lovin	loving
actin	acting
blowin	blowing
f’in	f’ing
playin	playing
ballin	balling
linkin	linking
hatin	hating
bustin	busting
buggin	bugging
foolin	fooling
vibin	vibing
rappin	rapping
blastin	blasting
slayin	slaying
whippin	whipping
findin	finding
parkin	parking
creepin	creeping
frickin	fricking
drippin	dripping
stitchin	stitching
killin	killing
believin	believing
cuttin	cutting
gettin	getting
ridin	riding
walkin	walking
bitchin	bitching
everythin	everything
kickin	kicking
kiddin	kidding
bangin	banging
breakin	breaking
chattin	chatting
amazin	amazing
heckin	hecking
startin	starting
cheesin	cheesing
dreamin	dreaming
frontin	fronting
drinkin	drinking
darlin	darling
pullin	pulling
talkin	talking
hangin	hanging
cookin	cooking
stayin	staying
usin	using
packin	packing
pissin	pissing
cappin	capping
throwin	throwing
singin	singing
bleedin	bleeding
spinnin	spinning
callin	calling
dancin	dancing
droppin	dropping
ramblin	rambling
willin	willing
shittin	shitting
flippin	flipping
dyin	dying
watchin	watching
feelin	feeling
missin	missing
wavin	waving
cussin	cussing
bobbin	bobbing
flexin	flexing
beggin	begging
payin	paying
standin	standing
comin	coming
friggin	frigging
steppin	stepping
pickin	picking
puffin	puffing
askin	asking
mornin	morning
eatin	eating
icin	icing
breathin	breathing
diggin	digging
laughin	laughing
shinin	shining
pimpin	pimping
catchin	catching
sayin	saying
jumpin	jumping
fakin	faking
knockin	knocking
rockin	rocking
summin	summing
sellin	selling
effin	effing
ghostin	ghosting
leavin	leaving
smokin	smoking
waitin	waiting
slippin	slipping
flamin	flaming
blazin	blazing
bringin	bringing
checkin	checking
biggin	bigging
sittin	sitting
burnin	burning
greetin	greeting
fallin	falling
nothin	nothing
prayin	praying
messin	messing
movin	moving
lookin	looking
tellin	telling
tweakin	tweaking
givin	giving
keepin	keeping
cruisin	cruising
sendin	sending
swingin	swinging
listenin	listening
livin	living
lyin	lying
workin	working
woofin	woofing
havin	having
poppin	popping
chasin	chasing
fcukin	fcuking
flyin	flying
bloomin	blooming
boppin	bopping
rollin	rolling
turnin	turning
howlin	howling
doin	doing
rankin	ranking
happenin	happening
gratin	grating
stressin	stressing
lurkin	lurking
seein	seeing
hittin	hitting
evenin	evening
drivin	driving
surfin	surfing
freakin	freaking
showin	showing
hitchin	hitching
wearin	wearing
trippin	tripping
stylin	styling
bein	being
blinkin	blinking
runnin	running
chillin	chilling
groovin	grooving
sleepin	sleeping
annoyin	annoying
stinkin	stinking
dunkin	dunking
ragin	raging
headin	heading
boomin	booming
puttin	putting
tweetin	tweeting
buzzin	buzzing
reppin	repping
thinkin	thinking
holdin	holding
cryin	crying
tryin	trying
makin	making
screamin	screaming
sippin	sipping
cummin	cumming
jammin	jamming
hustlin	hustling
raisin	raising
shakin	shaking
somethin	something
lickin	licking
smilin	smiling
tappin	tapping
takin	taking
goin	going
fightin	fighting
stompin	stomping
wantin	wanting
growin	growing
trappin	trapping
grindin	grinding
winnin	winning
rootin	rooting
sweatin	sweating
tootin	tooting
wishin	wishing
jokin	joking
pushin	pushing
savin	saving
stoppin	stopping
slammin	slamming
mingin	minging
shaggin	shagging
changin	changing
coolin	cooling
truckin	trucking
readin	reading
fukkin	fukking
buyin	buying
shoppin	shopping
forkin	forking
borin	boring
hurtin	hurting
paintin	painting
anythin	anything
beefin	beefing
meetin	meeting
bumpin	bumping
frikkin	frikking
smashin	smashing
spankin	spanking
werkin	werking
stunnin	stunning
losin	losing
suckin	sucking
lettin	letting
twerkin	twerking
shootin	shooting
