afff	af
againnnn	again
agesss	ages
aghhhhh	agh
agreeed	agreed
ahemmm	ahem
alllll	all
alwayssss	always
amaaaaazing	amazing
andddddd	and
arghhhhhh	argh
asssss	ass
awayyyy	away
baaaad	bad
babyyy	baby
backkkk	back
beeee	be
beeeeen	been
bestttt	best
bihhh	bih
biiiig	big
biiiitch	bitch
birthdayyyy	birthday
bishhh	bish
bitchessss	bitches
blesss	bless
blooody	bloody
boiii	boi
booooom	boom
boysssss	boys
boyyyy	boy
broooo	bro
brrrrrr	brr
bruhhh	bruh
businesss	business
buttt	but
byeeeeee	bye
calll	call
classs	class
cmonnnn	cmon
cooooome	come
cooooool	cool
craaaazy	crazy
creeepy	creepy
cryinggg	crying
cryyyy	cry
cutieee	cutie
cuuuute	cute
daaaaaamn	damn
dawggg	dawg
daysss	days
dayyy	day
dayzzz	dayz
deaaad	dead
deeeep	deep
dieeee	die
doneeee	done
dooooooo	do
downnnn	down
duhhhh	duh
dyingggg	dying
easyyyy	easy
ehhhh	eh
emmmm	em
errrrrrr	er
everrrrrr	ever
everythinggg	everything
ewwww	ew
excitedddd	excited
eyyyyy	ey
factssss	facts
farrrr	far
feeeel	feel
fiiiine	fine
finallyyyyy	finally
fireeeee	fire
freeeeee	free
fuckinggg	fucking
funnn	fun
fuuuuck	fuck
gahhhh	gah
gettt	get
girlllll	girl
goaaaaaal	goal
godddd	god
goneeeee	gone
gooo	go
gooooooood	good
goshhh	gosh
grrrrrrrr	grr
gurlll	gurl
guysssss	guys
guyyyy	guy
hahaaa	haha
hahahaaa	hahaha
happyyyyy	happy
hardddd	hard
hateeee	hate
heeey	hey
hellll	hell
helloooo	hello
helppp	help
hereeee	here
herrrr	her
hiii	hi
himmmm	him
hoooome	home
hotttt	hot
howwww	how
hummmm	hum
huuuuh	huh
huuuuuuge	huge
innnnnn	in
isss	is
itsss	its
ittttt	it
jeeeesus	jesus
jeeeez	jeez
jheeez	jheez
juuuust	just
knoooow	know
leggooooo	leggo
lesss	less
letssss	lets
liessss	lies
lifeeee	life
likeee	like
listennn	listen
littt	lit
liveeee	live
lmaaao	lmao
lmfaooooo	lmfao
longggg	long
loooking	looking
loooks	looks
looook	look
loooooool	lol
looooooove	love
looooved	loved
lordddd	lord
maaaaaate	mate
maaaan	man
maddd	mad
meannnn	mean
meeeee	me
mehhh	meh
misss	miss
mooooood	mood
mooooorning	morning
moreee	more
muchhh	much
myyyy	my
naaaah	nah
neeeeeeed	need
neverrrr	never
niiiiice	nice
nooo	no
notttt	not
nowwww	now
offff	off
oiiiiii	oi
okayyy	okay
okkk	ok
omfggg	omfg
omgggg	omg
oneeeee	one
onnn	on
orrrrr	or
outttt	out
owww	ow
partyyyyy	party
phewww	phew
pisss	piss
pleaaaaase	please
plsssss	pls
plzzz	plz
prettyyy	pretty
queeeen	queen
readyyyyyy	ready
reallll	real
reallyyyy	really
riiight	right
saaaaaame	same
sayyy	say
seeeeee	see
seeen	seen
shoook	shook
sighhhh	sigh
siiiick	sick
slayyyyy	slay
sleeeeeep	sleep
soooooo	so
soooooon	soon
squeeeeee	squee
stilllll	still
stoppp	stop
stresss	stress
sureeee	sure
suuuuper	super
sweeeeet	sweet
telll	tell
thaaaaanks	thanks
thaaank	thank
thankyouuu	thankyou
thattt	that
themmmm	them
thereeee	there
thissss	this
thoughhh	though
thruuuu	thru
timeee	time
todayyyy	today
toooooo	to
trashhh	trash
trueee	true
truuu	tru
tweeet	tweet
ughhhhhh	ugh
uhmmm	uhm
ummmmmmm	um
uppppp	up
urghhhhh	urgh
urmmm	urm
uuuuuuu	u
veeeery	very
waaaaa	wa
waaaaah	wah
waaaait	wait
wahooooo	wahoo
weeekend	weekend
wellll	well
whaaaaaaat	what
wheee	whee
whewwwww	whew
whooop	whoop
whyyyy	why
wohoooo	wohoo
wooooah	woah
woooooow	wow
woooop	woop
worddd	word
woweeee	wowee
wtffff	wtf
yaaaass	yass
yaaay	yay
yalll	yall
yeaaaaaa	yea
yeaaaaaah	yeah
yearsssss	years
yeeeeee	yee
yeeeeeees	yes
yehhh	yeh
yeppp	yep
yipeee	yipee
yooooo	yo
yoooooou	you
yummmm	yum
zzzzzzzzz	zzz
