fcuking	fucking
avaliable	available
excatly	exactly
thansk	thanks
brithday	birthday
theif	thief
choas	chaos
theives	thieves
athiest	atheist
epsiode	episode
could'nt	couldn't
strenght	strength
acutally	actually
soemthing	something
thier	their
brillaint	brilliant
isreali	israeli
worng	wrong
honeslty	honestly
freinds	friends
fiesty	feisty
musuem	museum
myslef	myself
dosen't	doesn't
absolutley	absolutely
golbal	global
niether	neither
did'nt	didn't
belguim	belgium
recieved	received
recieving	receiving
peadophile	paedophile
lovley	lovely
villian	villain
bicth	bitch
leauge	league
definitley	definitely
neice	niece
frist	first
britian	britain
genuis	genius
isreal	israel
diety	deity
would'nt	wouldn't
sheild	shield
saftey	safety
cnuts	cunts
menaing	meaning
likley	likely
assualt	assault
surley	surely
invovled	involved
reciept	receipt
tomororw	tomorrow
absoulte	absolute
certianly	certainly
villians	villains
guage	gauge
your'e	you're
conceed	concede
becuase	because
genuinley	genuinely
parlaimentary	parliamentary
peadophiles	paedophiles
parlaiment	parliament
governemnt	government
asain	asian
commerical	commercial
acheived	achieved
hoilday	holiday
acheivement	achievement
deisel	diesel
pepole	people
hodling	holding
foccacia	focaccia
sqaure	square
werid	weird
restuarant	restaurant
wierdo	weirdo
thoes	those
aganist	against
soliders	soldiers
bieng	being
peices	pieces
congratualtions	congratulations
