unravelling	unraveling
travelled	traveled
saviour	savior
colour	color
technicolour	technicolor
gruelling	grueling
tumour	tumor
levelled	leveled
fuelled	fueled
rigour	rigor
counselling	counseling
watercolour	watercolor
parlour	parlor
harbour	harbor
rumour	rumor
splendour	splendor
vigour	vigor
pretence	pretense
labelled	labeled
dishevelled	disheveled
chiselled	chiseled
labelling	labeling
cancelled	canceled
endeavour	endeavor
vapour	vapor
valour	valor
flavour	flavor
modelling	modeling
labour	labor
neighbour	neighbor
defence	defense
favour	favor
candour	candor
channelling	channeling
travelling	traveling
refuelling	refueling
analyse	analyze
snivelling	sniveling
offence	offense
levelling	leveling
dialogue	dialog
behaviour	behavior
fuelling	fueling
misdemeanour	misdemeanor
armour	armor
humour	humor
cancelling	canceling
analogue	analog
savour	savor
demeanour	demeanor
arbour	arbor
unravelled	unraveled
channelled	channeled
honour	honor
traveller	traveler
catalogue	catalog
modelled	modeled
